,Base Text,Comparison Text,Chi2 Statistic
68,columbani,germani,128.27167135696547
69,columbani,germani,103.24749642170694
70,columbani,germani,89.52258547008547
71,columbani,germani,131.4137367137367
72,columbani,germani,90.36027077497666
73,columbani,germani,126.85372405372404
74,columbani,germani,100.03208020050126
75,columbani,germani,85.1434065934066
76,columbani,germani,89.4592118665648
77,columbani,germani,173.21861946533002
78,columbani,germani,60.29796159293064
79,columbani,germani,81.83160173160174
80,columbani,germani,62.973549650733226
81,columbani,germani,96.04518303334093
82,columbani,germani,95.08774546531899
83,columbani,germani,169.3238095238095
84,columbani,germani,161.5927489177489
85,columbani,germani,72.40291607396871
86,columbani,germani,46.11865447933559
87,columbani,germani,95.99830288175878
88,columbani,germani,120.18691601509316
89,columbani,germani,68.65793650793651
90,columbani,germani,88.44182615629984
91,columbani,germani,83.97845103862545
92,columbani,germani,177.02827172827173
93,columbani,germani,85.21540159542076
94,columbani,germani,81.99187399473777
95,columbani,germani,148.66073762838468
96,columbani,germani,105.04110275689222
97,columbani,germani,100.70026184685626
98,columbani,germani,69.19942002442004
99,columbani,germani,144.19878162601074
100,columbani,germani,175.25005827505828
101,columbani,germani,66.25290276760865
102,columbani,germani,89.02259193614762
103,columbani,germani,91.48596059113301
104,columbani,germani,39.84253539253539
105,columbani,germani,42.70234487734488
106,columbani,germani,72.3620434686224
107,columbani,germani,104.85371295371296
108,columbani,germani,168.1624066293184
109,columbani,germani,49.13720358588779
110,columbani,germani,130.09917027417026
111,columbani,germani,70.59396348908544
112,columbani,germani,52.492010392010386
113,columbani,germani,87.34004562688773
114,columbani,germani,63.84398656898657
115,columbani,germani,57.480288863183596
116,columbani,germani,64.34879544574667
117,columbani,germani,76.25862524987913
118,columbani,germani,91.23487695614918
119,columbani,germani,133.7107142857143
120,columbani,germani,135.9890478312537
121,columbani,germani,42.82142857142857
122,columbani,germani,90.62582808372282
123,columbani,germani,59.98829284750338
124,columbani,germani,115.42470361054121
125,columbani,germani,75.80918279895141
126,columbani,germani,104.515797016481
127,columbani,germani,40.58057280883367
128,columbani,germani,68.97350131752307
129,columbani,germani,80.69467685092685
130,columbani,germani,146.3134188034188
131,columbani,germani,44.60633116883117
132,columbani,germani,135.06117756512492
133,columbani,germani,136.19891497035272
134,columbani,germani,69.79758956214064
135,columbani,germani,90.36116452991452
136,columbani,germani,59.229166666666664
137,columbani,germani,73.55424430641821
138,columbani,germani,85.93076441102758
139,columbani,germani,55.48715185070684
140,columbani,germani,50.647619047619045
141,columbani,germani,57.95367424972689
142,columbani,germani,159.67870336540415
143,columbani,germani,66.32051587301588
144,columbani,germani,37.94699377345258
145,columbani,germani,64.85245579302375
146,columbani,germani,120.01397338042074
147,columbani,germani,50.39369272984833
148,columbani,germani,60.22034223945989
149,columbani,germani,72.12810948940981
